Date,High,Low,Close,Adj Close,Volume
2020-03-08,8914.34375,8105.25293,8108.116211,8108.116211,39973102121.0
2020-01-10,8166.554199,7726.774902,8166.554199,8166.554199,28714583844.0
2020-07-17,9182.253906,9089.202148,9151.392578,9151.392578,13944570749.0
2017-04-08,1184.97998,1162.579956,1175.949951,1175.949951,209312000.0
2018-01-08,16537.900391,14208.200195,15170.099609,15170.099609,18413899776.0
2017-08-17,4484.700195,4243.709961,4331.689941,4331.689941,2553359872.0
2019-05-30,9008.314453,8221.273438,8319.472656,8319.472656,29246528551.0
2015-01-03,315.149994,281.082001,281.082001,281.082001,33054400.0
2017-08-14,4325.129883,3989.159912,4325.129883,4325.129883,2463089920.0
2016-04-07,423.657013,420.518005,422.744995,422.744995,57858600.0
2017-11-27,9818.349609,9352.719727,9818.349609,9818.349609,5653320192.0
2017-12-04,11657.200195,11081.799805,11657.200195,11657.200195,6132409856.0
2019-01-22,3620.746582,3539.721436,3604.577148,3604.577148,5313623556.0
2018-11-02,6396.859863,6327.379883,6388.439941,6388.439941,4234870000.0
2018-10-18,6567.540039,6450.040039,6476.709961,6476.709961,3924080000.0
2017-02-23,1176.619995,1116.959961,1166.719971,1166.719971,189454000.0
2017-04-21,1235.939941,1215.560059,1222.050049,1222.050049,272167008.0
2017-07-31,2889.620117,2720.610107,2875.340088,2875.340088,860574976.0
2019-09-26,8515.685547,7895.629395,8118.967773,8118.967773,19258205289.0
2019-10-25,8691.540039,7479.984375,8660.700195,8660.700195,28705065488.0
2020-08-21,11899.259766,11564.979492,11592.489258,11592.489258,23762425999.0
2017-02-17,1053.170044,1025.640015,1046.209961,1046.209961,136474000.0
2015-02-07,230.298996,222.606995,227.753998,227.753998,21604200.0
2021-01-18,37299.285156,34883.84375,36630.074219,36630.074219,49511702429.0
2020-05-15,9755.828125,9261.398438,9328.197266,9328.197266,48158802327.0
2017-01-14,835.085022,812.455994,818.411987,818.411987,93063296.0
2019-01-21,3608.84082,3558.537109,3576.032471,3576.032471,5004347059.0
2018-07-25,8416.870117,8086.359863,8181.390137,8181.390137,5845400064.0
2016-09-20,609.525024,607.937988,608.312012,608.312012,72710896.0
2016-09-03,599.5,574.05603,598.211975,598.211975,159014000.0
2020-11-03,13984.981445,13325.441406,13950.300781,13950.300781,29869951617.0
2015-12-15,465.321014,443.877991,465.321014,465.321014,83121104.0
2015-06-08,229.464005,222.839005,228.488998,228.488998,23378400.0
2014-12-01,383.661987,376.669006,379.244995,379.244995,11763000.0
2018-02-24,10597.200195,9546.969727,9813.070313,9813.070313,6917929984.0
2015-12-05,389.785004,363.229004,388.949005,388.949005,66282200.0
2015-10-17,273.578003,262.367004,270.640015,270.640015,43199600.0
2020-01-23,8687.74707,8333.637695,8406.515625,8406.515625,25770680779.0
2015-03-12,297.088013,292.412994,294.354004,294.354004,32585200.0
2017-07-25,2768.080078,2480.959961,2576.47998,2576.47998,1460089984.0
2020-09-29,10858.939453,10665.344727,10848.830078,10848.830078,20459870042.0
2019-12-03,7418.858887,7229.356934,7320.145508,7320.145508,14797485769.0
2018-06-13,6631.660156,6285.629883,6349.899902,6349.899902,5052349952.0
2019-11-05,9457.417969,9256.931641,9342.527344,9342.527344,26198609048.0
2016-05-04,450.377991,445.630005,446.721985,446.721985,50407300.0
2014-11-17,410.199005,377.502014,387.40799,387.40799,41518800.0
2018-04-05,6933.819824,6644.799805,6811.470215,6811.470215,5639320064.0
2019-09-12,10442.253906,10099.242188,10410.126953,10410.126953,15323563925.0
2017-02-05,1043.630005,1022.369995,1027.339966,1027.339966,114208000.0
2020-04-07,7427.939453,7136.714355,7176.414551,7176.414551,44243482668.0
2015-04-21,235.268997,224.300995,235.268997,235.268997,24978000.0
2015-06-22,247.917007,243.779007,246.990005,246.990005,17692500.0
2018-12-13,3489.739502,3298.13208,3313.677246,3313.677246,4343372456.0
2019-06-01,8625.600586,8481.578125,8564.016602,8564.016602,22488303544.0
2018-07-10,6767.740234,6320.720215,6329.950195,6329.950195,4052430080.0
2019-08-25,10304.62207,10008.789063,10138.517578,10138.517578,14153856610.0
2014-10-23,385.048004,356.446991,358.416992,358.416992,26456900.0
2020-09-23,10637.847656,10185.774414,10225.864258,10225.864258,22986733997.0
2018-01-12,14229.900391,13158.099609,13980.599609,13980.599609,12065699840.0
2016-07-10,652.294006,641.263977,649.359985,649.359985,102532000.0
2019-12-21,7223.226074,7112.73584,7191.158691,7191.158691,19312552168.0
2020-11-11,15916.260742,15290.006836,15701.339844,15701.339844,29772374934.0
2020-02-05,9701.299805,9163.704102,9613.423828,9613.423828,35222060874.0
2017-05-21,2119.080078,2037.5,2041.199951,2041.199951,1147859968.0
2019-01-05,3904.903076,3836.900146,3845.19458,3845.19458,5137609824.0
2017-10-13,5840.299805,5436.850098,5647.209961,5647.209961,3615480064.0
2019-05-26,8687.520508,7924.67041,8673.21582,8673.21582,26677970091.0
